sp1,sp2,rho_sign,weight
Bacteroides stercoris,Parabacteroides merdae,pos,0.3419085947501837
Bacteroides dorei,Bacteroides vulgatus,neg,0.2629821952575636
Bacteroides dorei,Ruminococcus bromii,pos,0.25534370702716935
Bacteroides vulgatus,Bacteroides caccae,pos,0.25934731754122264
Bacteroides vulgatus,Bacteroides uniformis,pos,0.2667782533253665
Bacteroides vulgatus,Bacteroides ovatus,pos,0.28081508919961273
Alistipes putredinis,Alistipes finegoldii,pos,0.33116276353984264
Alistipes putredinis,Odoribacter splanchnicus,pos,0.328352295619443
Alistipes putredinis,Eubacterium siraeum,pos,0.2712169928348391
Alistipes putredinis,Veillonella parvula,neg,0.28228863877835964
Alistipes putredinis,Flavonifractor plautii,neg,0.2937142370518675
Bacteroides caccae,Parabacteroides merdae,pos,0.2758079600348022
Bacteroides caccae,Bacteroides uniformis,pos,0.2806035310055222
Bacteroides caccae,Parabacteroides distasonis,pos,0.2845181249009053
Bacteroides caccae,Bacteroides ovatus,pos,0.3287415949650939
Bacteroides uniformis,Prevotella copri,neg,0.3062275071347515
Bacteroides uniformis,Bacteroides thetaiotaomicron,pos,0.29217981308754043
Bacteroides uniformis,Parabacteroides distasonis,pos,0.389876502515911
Bacteroides uniformis,Bacteroides ovatus,pos,0.2992655683876617
Bacteroides uniformis,Escherichia coli,neg,0.31144399689587926
Bacteroides uniformis,Ruminococcus gnavus,neg,0.2791372882075578
Bacteroides uniformis,Veillonella parvula,neg,0.29903327673947255
Roseburia intestinalis,Roseburia inulinivorans,pos,0.28719710322119524
Roseburia intestinalis,Ruminococcus bicirculans,pos,0.305204910182649
Bacteroides xylanisolvens,Alistipes finegoldii,pos,0.2726299091146814
Bacteroides xylanisolvens,Odoribacter splanchnicus,pos,0.2777885380736735
Prevotella copri,Barnesiella intestinihominis,pos,0.273649506392186
Prevotella copri,Escherichia coli,pos,0.2871616495710405
Prevotella copri,Bacteroides massiliensis,pos,0.40190244833811584
Prevotella copri,Bacteroides faecis,pos,0.3349144477504949
Prevotella copri,Veillonella parvula,pos,0.2797236480927897
Prevotella copri,Bacteroides finegoldii,pos,0.36390844933782807
Prevotella copri,Bacteroides eggerthii,pos,0.5008870413324837
Bacteroides thetaiotaomicron,Bacteroides faecis,neg,0.3513870564884904
Bacteroides thetaiotaomicron,Ruminococcus gnavus,neg,0.2575730401524016
Parabacteroides distasonis,Bacteroides ovatus,pos,0.4006579311011557
Parabacteroides distasonis,Alistipes finegoldii,pos,0.29476668238891784
Barnesiella intestinihominis,Odoribacter splanchnicus,pos,0.3035945902783412
Barnesiella intestinihominis,Bacteroides cellulosilyticus,pos,0.2773772071149017
Barnesiella intestinihominis,Oscillibacter sp 57 20,pos,0.2709617423170846
Barnesiella intestinihominis,Bacteroides massiliensis,pos,0.2772930307748718
Barnesiella intestinihominis,Flavonifractor plautii,neg,0.3509704726219606
Barnesiella intestinihominis,Bacteroides eggerthii,pos,0.25866924272106706
Alistipes finegoldii,Odoribacter splanchnicus,pos,0.3638677474161976
Alistipes finegoldii,Ruminococcus gnavus,neg,0.3444394809437256
Alistipes finegoldii,Veillonella parvula,neg,0.29206525055382476
Alistipes finegoldii,Flavonifractor plautii,neg,0.3113002350567269
Escherichia coli,Ruminococcus gnavus,pos,0.3709989336458162
Escherichia coli,Veillonella parvula,pos,0.26977885517970684
Escherichia coli,Faecalibacterium prausnitzii,neg,0.25865048895947745
Escherichia coli,Bacteroides eggerthii,pos,0.2993255989698774
Eubacterium rectale,Eubacterium eligens,pos,0.3005249495454269
Eubacterium rectale,Roseburia inulinivorans,pos,0.3084184472069001
Eubacterium rectale,Faecalibacterium prausnitzii,pos,0.35320362604374417
Odoribacter splanchnicus,Flavonifractor plautii,neg,0.28918191418573563
Bacteroides cellulosilyticus,Bacteroides massiliensis,pos,0.3542361400035204
Akkermansia muciniphila,Faecalibacterium prausnitzii,neg,0.25927481072354647
Eubacterium eligens,Faecalibacterium prausnitzii,pos,0.29439757868862776
Oscillibacter sp 57 20,Bacteroides massiliensis,pos,0.2614912920744582
Oscillibacter sp 57 20,Ruminococcus gnavus,neg,0.2542321722731945
Oscillibacter sp 57 20,Flavonifractor plautii,neg,0.359621293075617
Bacteroides massiliensis,Bacteroides finegoldii,pos,0.4817477218769588
Bacteroides massiliensis,Bacteroides eggerthii,pos,0.36425642550003073
Roseburia inulinivorans,Faecalibacterium prausnitzii,pos,0.28791129467986337
Roseburia inulinivorans,Roseburia hominis,pos,0.28649856385130995
Ruminococcus gnavus,Veillonella parvula,pos,0.35070429438700795
Ruminococcus gnavus,Flavonifractor plautii,pos,0.40816441974039586
Veillonella parvula,Bacteroides eggerthii,pos,0.3701454914505982
Bacteroides finegoldii,Bacteroides eggerthii,pos,0.448937948749813
