species,p_raw,clr_fc,mean_CD,mean_H,p_adj,-log10p,significant,direction
Clostridium lavalense,1.1852237507220936e-29,1.0366084366122372,-0.8785379747669577,-1.915146411379195,1.4459729758809541e-27,26.83983982359436,True,Higher in CD
Dielma fastidiosa,8.975474448214419e-28,0.7367182148003568,-1.2877050422275391,-2.024423257027896,5.475039413410795e-26,25.261612750101506,False,ns
Erysipelatoclostridium ramosum,4.295877314922394e-27,0.8352540272803932,-1.1422268389092607,-1.977480866189654,1.7469901080684402e-25,24.75770955410319,False,ns
Clostridium aldenense,1.2647674601741483e-25,0.72589746899803,-1.3428089878833647,-2.0687064568813947,3.857540753531152e-24,23.41368947707552,False,ns
Clostridium bolteae CAG 59,4.580064263838343e-25,1.0498117466042656,-0.7624856448099807,-1.8122973914142462,1.1175356803765557e-23,22.95173860193806,True,Higher in CD
Clostridium symbiosum,6.27965314119962e-24,1.1309897314491297,-0.1446843075529002,-1.27567403900203,1.2768628053772562e-22,21.89385576371425,True,Higher in CD
Eisenbergiella massiliensis,1.2203243998321703e-23,1.0537771211980675,-0.37693607048390915,-1.4307131916819766,2.126851096850354e-22,21.67226291446018,True,Higher in CD
Acidaminococcus intestini,1.4806557459274947e-23,0.9601102860713171,-0.7901779496182697,-1.7502882356895868,2.2580000125394294e-22,21.64627605999927,False,ns
Clostridium saccharolyticum,2.9353468327880693e-23,1.177595037573121,-0.7436284028250519,-1.921223440398173,3.673356224929579e-22,21.434936953762076,True,Higher in CD
Clostridium bolteae,3.0109477253521137e-23,1.4423670118723095,0.6126933785819152,-0.8296736332903943,3.673356224929579e-22,21.434936953762076,True,Higher in CD
Clostridium sp CAG 242,4.04584850071504e-23,0.6396866373745633,-1.3994592278401188,-2.039145865214682,4.4872137917021355e-22,21.34802323816815,False,ns
Clostridium asparagiforme,1.2987506373023428e-22,0.5846182356836904,-1.5223221191347116,-2.106940354818402,1.320396481257382e-21,20.87929564169748,False,ns
