species,p_raw,clr_fc,mean_CD,mean_UC,p_adj,-log10p,significant,direction
Bacteroides xylanisolvens,7.503026485246484e-16,1.8734473843298962,2.346639623596663,0.4731922392667666,9.15369231200071e-14,13.038403689838155,True,Higher in CD
Odoribacter splanchnicus,1.9813218726321755e-14,1.5534529819391654,1.6959634742050391,0.14251049226587378,1.208606342305627e-12,11.9177151310696,True,Higher in CD
Sutterella parvirubra,3.0698172593740367e-09,0.8326864531597725,-0.6868141677056417,-1.5195006208654143,1.2483923521454416e-07,6.903648900557175,False,ns
Alistipes indistinctus,2.4181193770416182e-08,0.7664898104203789,-0.7543165023458808,-1.5208063127662597,7.375264099976935e-07,6.1322224234706075,False,ns
Dorea formicigenerans,3.3544927459216647e-07,-0.6794509893802618,-0.20515784641318713,0.4742931429670747,8.184962300048863e-06,5.086983316608601,False,ns
Alistipes putredinis,6.515401704176509e-07,1.1685614736906458,2.4322641770581472,1.2637027033675015,1.3247983465158903e-05,4.87785022260288,True,Higher in CD
Roseburia inulinivorans,1.8679339443737984e-06,-0.9039387948446762,1.0981543678824208,2.002093162727097,3.2555420173371915e-05,4.487376695101318,False,ns
Anaerotruncus colihominis,4.221115421192776e-06,0.5562628471675848,-0.9378232927887453,-1.49408613995633,6.437201017318983e-05,4.191302928753694,False,ns
Bacteroides fragilis,5.434044949734378e-06,1.0761721419606052,2.5278910283288645,1.4517188863682593,7.366149820751046e-05,4.132759452238674,True,Higher in CD
Dialister invisus,6.771003594677467e-06,0.7164541797885979,0.343162713024209,-0.3732914667643889,8.26062438550651e-05,4.0829871249639265,False,ns
Proteobacteria bacterium CAG 139,7.482746731356953e-06,-0.7623557765028314,0.1006722246588797,0.8630280011617111,8.299046374777711e-05,4.08097180858365,False,ns
Bifidobacterium adolescentis,8.82453634283431e-06,-0.8708175625677448,-0.9594009635781826,-0.08858340101043785,8.971611948548216e-05,4.047129519334373,False,ns
Roseburia intestinalis,1.3385194780531624e-05,-1.07196038303454,1.36000583470746,2.431966217742,0.00012561490486345063,3.9009588262365504,True,Lower in CD
Clostridium bolteae,3.7355168434118626e-05,0.7200978090596275,0.6126933785819152,-0.10740443047771234,0.00031622001496722107,3.500010645109933,False,ns
Clostridium saccharolyticum,3.887951003695341e-05,0.6613923996597237,-0.7436284028250519,-1.4050208024847757,0.00031622001496722107,3.500010645109933,False,ns
Eubacterium eligens,4.230700878960813e-05,-0.8566425022021074,1.3282237571169833,2.1848662593190906,0.00032259094202076195,3.4913478312608466,False,ns
Eubacterium hallii,5.190515739629587e-05,-0.5505174973485812,-0.16938428957109847,0.3811332077774828,0.000372495835432241,3.4288785783758433,False,ns
Lawsonibacter asaccharolyticus,5.806465246470858e-05,0.6312925845790209,-0.13676162303179343,-0.7680542076108143,0.0003935493111496915,3.4050008434358388,False,ns
Acidaminococcus intestini,8.599676925629885e-05,0.5522593925286716,-0.7901779496182697,-1.3424373421469413,0.0005521897815404452,3.2579116343893664,False,ns
Blautia obeum,9.963179890060546e-05,-0.6807289846280795,0.33783610844872,1.0185650930767995,0.0006028374101727923,3.2197998045865353,False,ns
Ruminococcus lactaris,0.00010376709519367736,-0.5837377208757955,-0.9729359003548226,-0.38919817947902713,0.0006028374101727923,3.2197998045865353,False,ns
Bacteroides ovatus,0.00012296990166954015,-0.8529575855559779,3.5094750518736806,4.3624326374296585,0.0006819240001674499,3.1662640243861837,False,ns
Turicimonas muris,0.00013384287080575287,-0.45571408706234073,-0.597472545912465,-0.1417584588501243,0.0007099491407957327,3.1487727620737584,False,ns
Clostridium aldenense,0.00017290679317783582,0.2721273855018802,-1.3428089878833647,-1.6149363733852449,0.0008789428653206655,3.0560393548265945,False,ns
Akkermansia muciniphila,0.0002121835139107848,0.6510645943489712,-0.018185664776981643,-0.6692502591259529,0.0010354555478846298,2.9848685406360977,False,ns
Bacteroides massiliensis,0.00029286961986553614,-0.860813670707152,-0.790258392941252,0.07055527776589997,0.001374234370138285,2.861939193784678,False,ns
Parasutterella excrementihominis,0.0005275673266011482,-0.6605650595477959,0.820041481302497,1.4806065408502929,0.0023838227350125958,2.6227260425845556,False,ns
Clostridium citroniae,0.0013694994668909874,0.38804639877845704,-1.1091571047803934,-1.4972035035588505,0.005967104820025017,2.224236333136525,False,ns
Blautia sp CAG 257,0.001541451022024787,0.41250609491482093,-1.1040313603637832,-1.5165374552786042,0.006484724989207725,2.188108437190092,False,ns
Clostridium clostridioforme,0.0017565617738951014,0.8917505032884432,-0.38886057688674597,-1.280611080175189,0.007143351213840079,2.1460979965949085,False,ns
Bilophila wadsworthia,0.002120412868676277,0.4208987448277315,-0.2899912720505069,-0.7108900168782384,0.008137745508887986,2.089495895929505,False,ns
Clostridium bolteae CAG 59,0.0021344906252820945,0.2579915861537786,-0.7624856448099807,-1.0204772309637593,0.008137745508887986,2.089495895929505,False,ns
Anaeromassilibacillus sp An250,0.002589435769063213,-0.33366939485809044,-1.004731013208519,-0.6710616183504285,0.00957306557047612,2.018948966387315,False,ns
Ruminococcus gnavus,0.004496435351370036,0.5787138748046621,0.9583939988101109,0.3796801240054488,0.016134268025504248,1.792250732751264,False,ns
Intestinibacter bartlettii,0.007097190795773152,0.35401679614272585,-1.1328418673838756,-1.4868586635266015,0.024738779345266415,1.60662173302919,False,ns
Bifidobacterium pseudocatenulatum,0.0077636258648066,0.2789148816571314,-1.090872624900474,-1.3697875065576055,0.026310065430733477,1.5798780718621814,False,ns
Eubacterium ventriosum,0.01345654505479488,-0.4822230563563537,-0.8347820034046705,-0.35255894704831675,0.04437022964013447,1.3529083235668542,False,ns
Hungatella hathewayi,0.01524696985325483,0.1830580790610753,-0.8587737294949734,-1.0418318085560487,0.0489507979499234,1.3102402243424771,False,ns
Roseburia faecis,0.01966173270782324,0.5660482290327586,2.386797382473126,1.8207491534403675,0.061505933086011155,1.2110829885785335,False,ns
Veillonella parvula,0.020638976048421055,0.5989718399392809,-0.019678282583382802,-0.6186501225226637,0.06294887694768422,1.2010120136065456,False,ns
Roseburia hominis,0.021272574942042807,0.3189971851066131,0.8710750803771607,0.5520778952705476,0.06329888153485909,1.1986039637193007,False,ns
Bacteroides stercoris,0.022852239573401503,-0.8353683885403971,1.834681144935447,2.670049533475844,0.06638031495130912,1.1779606913475544,False,ns
Bacteroides caccae,0.024729146281723846,0.4462547802100665,3.0341205495062056,2.587865769296139,0.07016176386907695,1.153899501327054,False,ns
Parabacteroides merdae,0.02754635949627917,-0.5740798087602341,1.8382820154031516,2.4123618241633857,0.07637854223968316,1.1170286348250098,False,ns
Dielma fastidiosa,0.029274977185885922,-0.3640353917311373,-1.2877050422275391,-0.9236696504964018,0.07936771592617961,1.1003561178035974,False,ns
Bacteroides finegoldii,0.03171858641706332,-0.8241073845837571,-1.226771226769728,-0.40266384218597084,0.08412320745395055,1.0750841768678427,False,ns
