species,p_raw,clr_fc,mean_UC,mean_H,p_adj,-log10p,significant,direction
Alistipes putredinis,1.8206506538508386e-25,-3.30455080342594,1.2637027033675015,4.568253506793441,2.221193797698023e-23,22.653413547890487,True,Lower in UC
Dielma fastidiosa,2.0322087821787676e-23,1.100753606531494,-0.9236696504964018,-2.024423257027896,1.2396473571290481e-21,20.906701841155755,True,Higher in UC
Clostridium symbiosum,2.920394850504012e-19,1.2738018884751692,-0.001872150526860755,-1.27567403900203,1.1876272392049649e-17,16.92531985006156,True,Higher in UC
Erysipelatoclostridium ramosum,9.489169753733823e-18,0.870679421466503,-1.106801444723151,-1.977480866189654,2.5236952768009717e-16,15.59796308508289,False,ns
Clostridium sp CAG 242,1.0343013429512178e-17,0.9575533024949792,-1.081592562719703,-2.039145865214682,2.5236952768009717e-16,15.59796308508289,False,ns
Proteobacteria bacterium CAG 139,3.7453872109205274e-17,1.508126218306923,0.8630280011617111,-0.645098217145212,7.615620662205073e-16,15.118294696505679,True,Higher in UC
Collinsella stercoris,1.737654105000371e-16,0.6410166758060585,-1.3767063556901638,-2.0177230314962222,3.0284828687149323e-15,14.518774878676796,False,ns
Collinsella intestinalis,9.309272917853686e-16,0.8188601844129384,-1.3114387160503787,-2.130298900463317,1.419664119972687e-14,13.847814393713396,False,ns
Clostridium lavalense,1.1164648202447491e-15,0.7964199315262221,-1.1187264798529728,-1.915146411379195,1.5134300896651045e-14,13.820037635740718,False,ns
Anaeromassilibacillus sp An250,2.4540442096800147e-15,0.9087646666548399,-0.6710616183504285,-1.5798262850052684,2.792382264667699e-14,13.554025129003065,False,ns
Odoribacter splanchnicus,2.5177217140446468e-15,-2.0167580007768415,0.14251049226587378,2.1592684930427155,2.792382264667699e-14,13.554025129003065,True,Lower in UC
Turicimonas muris,3.385093160878903e-14,0.9375819810789464,-0.1417584588501243,-1.0793404399290707,3.441511380226885e-13,12.463250790003444,False,ns
Firmicutes bacterium CAG 94,2.104861230760809e-12,0.4246545248375617,-1.060833200701622,-1.4854877255391836,1.9753313088678365e-11,10.704360052672481,False,ns
Alistipes shahii,4.013922230743901e-12,-1.4999182738003103,-0.36106473288973356,1.1388535409105767,3.497846515362542e-11,10.456199251173391,True,Lower in UC
Firmicutes bacterium CAG 83,1.0936097232915811e-11,-1.349399025109673,-0.3816815110577158,0.9677175140519572,8.89469241610486e-11,10.050869065488772,True,Lower in UC
Alistipes finegoldii,1.363470847693717e-11,-1.6587327785326098,1.0244692077716209,2.6832019863042307,1.0396465213664591e-10,9.983114295234222,True,Lower in UC
Eisenbergiella massiliensis,1.6413180999464655e-11,0.9147299946535552,-0.5159831970284214,-1.4307131916819766,1.1736503131143444e-10,9.930461281032905,False,ns
Clostridium asparagiforme,1.731615216070344e-11,0.7452913602432607,-1.3616489945751413,-2.106940354818402,1.1736503131143444e-10,9.930461281032905,False,ns
Clostridium spiroforme,2.2612931879945264e-11,0.533758560575994,-1.4093883614463751,-1.9431469220223692,1.45198825755438e-10,9.83803689582598,False,ns
Roseburia hominis,1.0348788760778723e-10,-1.2672655404057571,0.5520778952705476,1.8193434356763047,6.312761144075021e-10,9.199780642760821,True,Lower in UC
