fold,model,task,auc,f1_macro
1,Balanced Random Forest,Binary (H vs CD),0.5561413244543101,0.5764569862544426
1,L1 Logistic Regression,Binary (H vs CD),0.43470218275989636,0.45862068965517244
2,Balanced Random Forest,Binary (H vs CD),0.6824618736383442,0.6414943081609747
2,L1 Logistic Regression,Binary (H vs CD),0.6249092229484388,0.65229762412861
3,Balanced Random Forest,Binary (H vs CD),0.7442075996292864,0.6065493646138808
3,L1 Logistic Regression,Binary (H vs CD),0.6699104108742663,0.6308507273877293
4,Balanced Random Forest,Binary (H vs CD),0.7368262268704746,0.693444909344491
4,L1 Logistic Regression,Binary (H vs CD),0.7534191472244569,0.65338519764508
5,Balanced Random Forest,Binary (H vs CD),0.6951822678146182,0.6266716719065271
5,L1 Logistic Regression,Binary (H vs CD),0.6526836416926177,0.5506172839506173
