species,centrality,degree
Bacteroides uniformis,0.2647058823529412,9
Prevotella copri,0.23529411764705882,8
Barnesiella intestinihominis,0.20588235294117646,7
Alistipes finegoldii,0.20588235294117646,7
Ruminococcus gnavus,0.20588235294117646,7
Veillonella parvula,0.20588235294117646,7
Escherichia coli,0.1764705882352941,6
Bacteroides massiliensis,0.1764705882352941,6
Flavonifractor plautii,0.1764705882352941,6
Bacteroides eggerthii,0.1764705882352941,6
Alistipes putredinis,0.14705882352941177,5
Bacteroides caccae,0.14705882352941177,5
Odoribacter splanchnicus,0.14705882352941177,5
Faecalibacterium prausnitzii,0.14705882352941177,5
Bacteroides vulgatus,0.11764705882352941,4
Parabacteroides distasonis,0.11764705882352941,4
Bacteroides ovatus,0.11764705882352941,4
Oscillibacter sp 57 20,0.11764705882352941,4
Roseburia inulinivorans,0.11764705882352941,4
Bacteroides thetaiotaomicron,0.08823529411764705,3
Eubacterium rectale,0.08823529411764705,3
Bacteroides finegoldii,0.08823529411764705,3
Bacteroides dorei,0.058823529411764705,2
Parabacteroides merdae,0.058823529411764705,2
Roseburia intestinalis,0.058823529411764705,2
Bacteroides xylanisolvens,0.058823529411764705,2
Bacteroides cellulosilyticus,0.058823529411764705,2
Eubacterium eligens,0.058823529411764705,2
Bacteroides faecis,0.058823529411764705,2
Bacteroides stercoris,0.029411764705882353,1
Akkermansia muciniphila,0.029411764705882353,1
Eubacterium siraeum,0.029411764705882353,1
Ruminococcus bicirculans,0.029411764705882353,1
Ruminococcus bromii,0.029411764705882353,1
Roseburia hominis,0.029411764705882353,1
